feature,n_setup,n_control,test,pvalue,cohens_d,rank_biserial,ks_stat,qvalue,significant
price_to_ma_150,10640,11463,cluster_robust_t,6.69260278495575e-82,-0.6625098061294288,0.39176843246561843,0.3072789602900211,3.848246601349556e-81,True
rs_line_slope_21,11241,11466,cluster_robust_t,1.6162890516639869e-81,-0.7368310307302599,0.4910131566694913,0.38681515594474536,8.746976044299223e-81,True
dist_from_high_63,11043,11465,cluster_robust_t,2.7484237391281946e-81,-0.8082088424792979,0.49985978373640627,0.38723039567919865,1.4047499111099661e-80,True
rel_strength_63,11037,11465,cluster_robust_t,1.3537857910410636e-79,-0.5995211332120565,0.3812671495762914,0.2907250997823165,6.555173303988308e-79,True
rs_at_high_63,11043,11465,cluster_robust_t,2.560438554413863e-79,-0.8642368238583671,0.5214795637510885,0.39495704832858297,1.177801735030377e-78,True
dist_from_low_42,11135,11465,cluster_robust_t,7.396987983003333e-79,-0.7261860406210159,0.6525727801232584,0.6126367690190033,3.24058521160146e-78,True
price_to_ma_200,10390,11463,cluster_robust_t,2.306729008746806e-75,-0.5977628221652481,0.34993951750188934,0.2683930899742965,9.646321309304825e-75,True
dist_from_high_126,10758,11463,cluster_robust_t,5.766855485796018e-73,-0.6885911810482007,0.4244938859925782,0.3232192919832907,2.3067421943184073e-72,True
rs_at_high_126,10758,11463,cluster_robust_t,2.4113742076704103e-71,-0.7238669273719875,0.4372145339474741,0.32738259359546623,9.24360112940324e-71,True
updown_vol_21,11216,11439,cluster_robust_t,5.14139058456763e-68,-0.374114104733992,0.4795326765218322,0.36665404934616275,1.892031735120888e-67,True
dist_from_low_63,11043,11465,cluster_robust_t,5.236585259517671e-66,-0.5869312228811426,0.5695098796880876,0.5050893507949478,1.8529455533677912e-65,True
accum_vol_share_63,11037,11465,cluster_robust_t,8.20054756954491e-64,-0.47477387183137665,0.2688913921973827,0.19621189338118566,2.794260653326414e-63,True
rel_strength_126,10754,11463,cluster_robust_t,1.7581427450199865e-60,-0.4055065715979251,0.2777237486893126,0.21063376826519709,5.776754733637099e-60,True
updown_vol_42,11131,11465,cluster_robust_t,3.7563564946155447e-57,-0.33923337014918237,0.3152962128883934,0.23976579436981377,1.1916717155332074e-56,True
rs_line_slope_42,11135,11465,cluster_robust_t,4.234296691581739e-57,-0.4229758793630679,0.29711032836314266,0.24075780900109678,1.2985176520850666e-56,True
cmf_21,11241,11466,cluster_robust_t,4.893747455626014e-56,-0.4434163396654001,0.27977534458910036,0.23827483406575256,1.4523379545728815e-55,True
base_depth_21,11241,11466,cluster_robust_t,1.3045647574434087e-47,0.4756229364979652,-0.28566727638365896,0.20679009630170558,3.7506236776498e-47,True
vol_surge_21,11241,11466,cluster_robust_t,1.6840221601901593e-46,0.31050000025068425,-0.18502018313295898,0.1647802107026629,4.69484965871196e-46,True
accum_vol_share_126,10754,11463,cluster_robust_t,1.6926924464736955e-40,-0.36024670552437976,0.20252960779716567,0.1431855020570505,4.58022661987e-40,True
updown_vol_63,11037,11465,cluster_robust_t,1.0404264300857328e-39,-0.24679567557290918,0.2395113356370463,0.1798521098658712,2.7348351876539263e-39,True
dist_from_low_126,10758,11463,cluster_robust_t,2.2790085833761215e-39,-0.36403245316453314,0.40276983698710256,0.33490005113082616,5.824133046405643e-39,True
rs_line_slope_63,11043,11465,cluster_robust_t,7.089702341418767e-38,-0.2559823656308568,0.17973349945238448,0.14377653638697935,1.7628449065149366e-37,True
vol_surge_42,11135,11465,cluster_robust_t,6.557046346458852e-36,0.2547658711443306,-0.15639671000414967,0.14667157282144305,1.5874954312479326e-35,True
up_vs_down_vol_extreme_21,11024,11424,cluster_robust_t,6.032245311921146e-35,-0.2111651868361703,0.291580822958719,0.22065747561724253,1.422991201786527e-34,True
vol_surge_63,11043,11465,cluster_robust_t,2.257954625619006e-31,0.23032458887488216,-0.14343877730628307,0.13657256794880923,5.1932956389237134e-31,True
vol_surge_126,10758,11463,cluster_robust_t,2.4352797370538954e-27,0.20583743961607198,-0.12836714459968568,0.12107430784727546,5.464530141681912e-27,True
base_depth_42,11135,11465,cluster_robust_t,3.224169923341086e-27,0.3443541857837342,-0.19602997036528458,0.13641928902140815,7.062467451128094e-27,True
cmf_42,11135,11465,cluster_robust_t,4.4584811172312174e-27,-0.27390469581088794,0.193234221957027,0.18062559739908524,9.539075878727255e-27,True
hurst_63,11043,11465,cluster_robust_t,6.065299883034899e-26,0.26924385045457055,-0.1601220365269982,0.12632043497726986,1.2681990664527515e-25,True
updown_vol_126,10754,11463,cluster_robust_t,6.207312584235392e-26,-0.21025726780106596,0.15276377161337273,0.11586521932416366,1.2690505727770133e-25,True
ret_skew_63,11043,11465,cluster_robust_t,1.0357139247113365e-24,-0.18684658200873683,0.10269660300678485,0.08995659397339006,2.071427849422673e-24,True
base_depth_63,11043,11465,cluster_robust_t,7.375909754801609e-19,0.27770124500884125,-0.1497489949193176,0.11230984267620703,1.4437951009398894e-18,True
up_vs_down_vol_extreme_42,11085,11463,cluster_robust_t,2.6027707521547683e-18,-0.13041957552941746,0.14666735606482095,0.11513374147120636,4.988643941629973e-18,True
hurst_126,10758,11463,cluster_robust_t,5.884403365064393e-17,0.2062371909815565,-0.12395025666532988,0.09120160068824462,1.1048267542569881e-16,True
rs_line_slope_126,10758,11463,cluster_robust_t,6.363526502666685e-16,-0.13020182349370557,0.08522597426507528,0.07528154187879338,1.17088887649067e-15,True
ret_kurt_63,11043,11465,cluster_robust_t,6.994700589625802e-16,0.14263048329175634,-0.11687827455130306,0.09151518432939404,1.2617891259717132e-15,True
cmf_63,11043,11465,cluster_robust_t,1.164599716120697e-14,-0.1920647024690332,0.1496791889011433,0.1388904231521872,2.0604456515981562e-14,True
vol_trend_21,11241,11466,cluster_robust_t,1.4679940216552446e-14,0.12485519648884208,-0.07482727853310034,0.07558399763592483,2.548216037590236e-14,True
ret_autocorr1_63,11030,11465,cluster_robust_t,1.1589327353266868e-13,0.18847012930346055,-0.1100682395354382,0.08740812730138914,1.9744779935195405e-13,True
base_depth_126,10758,11463,cluster_robust_t,1.2168290817559234e-12,0.22525089084555316,-0.11685338330067241,0.08683446179733245,2.035423191300817e-12,True
ret_skew_126,10758,11463,cluster_robust_t,4.561922479908218e-12,-0.12366045160495243,0.0535034460314997,0.05274281680981496,7.494586931277786e-12,True
range_tightness,10754,11463,cluster_robust_t,1.0342325790331984e-11,-0.11017326959157901,0.10761975471340046,0.09320884940495783,1.6692876714220045e-11,True
ret_std_42,11135,11465,cluster_robust_t,1.2227699492046433e-11,0.21154543979463544,-0.10581592010670304,0.08330858388437823,1.9395661263246067e-11,True
ret_std_63,11043,11465,cluster_robust_t,1.2858413572820186e-11,0.22449062079650445,-0.10941948808209156,0.08760677396399807,2.0050407605075545e-11,True
ret_std_126,10758,11463,cluster_robust_t,5.260809525221959e-11,0.23994037665668974,-0.10867089417576481,0.09054077769748192,8.066574605340338e-11,True
ret_kurt_126,10758,11463,cluster_robust_t,2.4617806013065324e-10,0.13378272369818006,-0.10481687997450906,0.07728094255486467,3.712849431478704e-10,True
ret_std_21,11241,11466,cluster_robust_t,5.093799651563764e-10,0.17064218562810943,-0.08193944344769766,0.06332880712384303,7.558541418449457e-10,True
ma_compression,11105,11465,cluster_robust_t,9.83238880788494e-09,0.11530089900689414,-0.07637024611246601,0.07102920561825798,1.4358409052784357e-08,True
vol_trend_126,10758,11463,cluster_robust_t,1.0928664618063483e-08,-0.07594503124904889,0.04440831536731982,0.035548963543754974,1.5709955388466256e-08,True
perm_entropy_126,10758,11463,cluster_robust_t,7.387708431222867e-08,-0.1867029004756411,0.06987733613115144,0.05270316353802351,1.0456448856500059e-07,True
zero_cross_63,11043,11465,cluster_robust_t,2.0991862132855745e-07,-0.12962717162785384,0.0561378923977115,0.03973714298216319,2.9261383579132254e-07,True
up_vs_down_vol_extreme_63,11007,11465,cluster_robust_t,2.93027316037939e-07,-0.07505666905014975,0.09848453493754583,0.08004350084319728,4.02365866798364e-07,True
ret_autocorr1_126,10750,11463,cluster_robust_t,4.019580554932305e-07,0.14224619150539541,-0.0887948323118466,0.07463155268010935,5.438256044908413e-07,True
perm_entropy_63,11043,11465,cluster_robust_t,5.338746671446499e-07,-0.1604706296707141,0.06237429160772978,0.04456516351909688,7.118328895261998e-07,True
vol_trend_63,11043,11465,cluster_robust_t,1.3965836512272735e-06,-0.0684504508571656,0.043326071153721335,0.04716368820152311,1.835509941612988e-06,True
atr_pct_126,10754,11463,cluster_robust_t,1.922228156925335e-06,0.09040432390756978,-0.11818998438118311,0.11395795004817832,2.4907745131990253e-06,True
vol_autocorr1_63,11043,11465,cluster_robust_t,1.2170518138958258e-05,-0.09399582548902759,0.05970844100327155,0.05523956840166372,1.5551217622002217e-05,True
atr_pct_63,11037,11465,cluster_robust_t,1.306438352262068e-05,0.07812610865074311,-0.10263621460242311,0.10609597239053303,1.646470252165894e-05,True
atr_pct_42,11133,11465,cluster_robust_t,4.871606265721837e-05,0.07152709748595108,-0.09191212195533449,0.10111199994014408,6.0565915736001216e-05,True
cmf_126,10758,11463,cluster_robust_t,7.838948533431597e-05,-0.10517721991289532,0.1037514557575634,0.1093979032614889,9.615776867676092e-05,True
zero_cross_126,10758,11463,cluster_robust_t,0.00011279442742091637,-0.10884133213972283,0.0357795282629465,0.03703158234702508,0.00013654062266742507,True
vol_autocorr1_126,10758,11463,cluster_robust_t,0.00013719711306586562,-0.09069044874169246,0.05603695762777883,0.05317450227480844,0.00016392382340337192,True
atr_pct_21,11230,11466,cluster_robust_t,0.00048763319637340475,0.05841094084999675,-0.06728805548294159,0.08464419719985161,0.0005751571034147851,True
vol_trend_42,11135,11465,cluster_robust_t,0.0044599145518320026,-0.04620348102484094,0.024669634511704785,0.0460622918466248,0.005193824541373977,True
up_vs_down_vol_extreme_126,10731,11463,cluster_robust_t,0.0267552543242754,-0.03613634896694562,0.05075814783112642,0.04686788583638368,0.03076854247291671,True
vol_ratio_126,10138,11458,cluster_robust_t,0.05557279782894523,0.030289836200028338,0.029099465945618075,0.034252055445293056,0.06311972099090075,False
vol_ratio_63,10758,11463,cluster_robust_t,0.36344665246830954,0.01247286067175546,0.03709571685144197,0.038753653392162246,0.4077694149644449,False
tight_days_share_42,9243,10733,cluster_robust_t,0.5135054881162482,0.014973953397706637,-0.014023167494008115,0.014284111689841283,0.569186806104757,False
vol_contraction_126,10737,11463,cluster_robust_t,0.5803783726227499,0.007433430492500963,0.05055763273035663,0.05658398681404514,0.6356525033487261,False
vol_contraction_21,11158,11438,cluster_robust_t,0.5951399595578802,0.00023319668435176357,-0.0044617362570484875,0.04077045784780886,0.6429638221846699,False
tight_days_share_126,9129,10728,cluster_robust_t,0.6010313989987132,0.012115565593578391,-0.001899824040031417,0.008788063361272413,0.6429638221846699,False
vol_ratio_21,11135,11465,cluster_robust_t,0.6208312023499615,-0.007315951175476556,0.04233740023276167,0.04636096935853068,0.6565111565080053,False
tight_days_share_21,9151,10656,cluster_robust_t,0.6876128845352087,0.009042892803450912,-0.006653724399735772,0.006476917306334873,0.7188680156504454,False
vol_ratio_42,10957,11464,cluster_robust_t,0.6985077170846349,-0.005395146156681409,0.0440804538148587,0.03994401830004635,0.722052921031308,False
vol_contraction_42,11096,11461,cluster_robust_t,0.9039204264628454,0.0022091782121898894,0.08828116001307718,0.08396323458502289,0.9240075470509086,False
tight_days_share_63,9191,10713,cluster_robust_t,0.9609045499049051,-0.0011424345189986953,-0.001392764237572841,0.005362126064927225,0.9714639405632007,False
vol_contraction_63,11022,11462,cluster_robust_t,0.9846295106631467,-0.00035756790589568327,0.08291753131797353,0.07600224433352801,0.9846295106631467,False
