feature,n_setup,n_control,test,pvalue,cohens_d,rank_biserial,ks_stat,qvalue,significant
range_position_21,11224,8099,cluster_robust_t,1.774116570588887e-192,-1.4678220836347928,0.6719925165210949,0.6437690361885706,1.632187244941776e-190,True
range_position_42,11133,8107,cluster_robust_t,1.7860420804149978e-168,-1.375054765266944,0.6584940988074143,0.5832505375782596,8.21579356990899e-167,True
range_position_63,11043,8107,cluster_robust_t,4.8164249106711694e-148,-1.220698121899507,0.5961501448060651,0.4798214311903921,1.4770369726058254e-146,True
range_position_126,10758,8103,cluster_robust_t,9.356101326919127e-118,-0.8877845612536507,0.45889145645427687,0.31570045012351083,2.1519033051913994e-116,True
accum_vol_share_21,11230,8107,cluster_robust_t,2.4806877252106408e-109,-0.78472368084069,0.42110957835653384,0.3273915191086802,4.564465414387579e-108,True
price_to_ma_20,11241,8107,cluster_robust_t,3.2649272652453916e-100,-1.0066698833916154,0.6450758293133143,0.5257709120848479,5.0062218067096e-99,True
price_to_ma_50,11105,8107,cluster_robust_t,1.4771944674358654e-93,-0.8919504899681626,0.5487268966230427,0.45113903432628655,1.9414555857728517e-92,True
rel_strength_21,11230,8107,cluster_robust_t,4.334591715474075e-93,-0.9457488325152654,0.5719990892076711,0.4513684127510487,4.984780472795186e-92,True
dist_from_high_21,11241,8107,cluster_robust_t,1.9421772009381808e-91,-0.8651844104765227,0.5583795517973525,0.43720145860256865,1.9853366942923625e-90,True
rs_at_high_21,11241,8107,cluster_robust_t,6.319161795268337e-88,-0.9446938629021974,0.59906925855913,0.4565886718392984,5.81362885164687e-87,True
rel_strength_42,11133,8107,cluster_robust_t,3.4393271871506043e-84,-0.7308138862040643,0.44828777846682366,0.3464806821002984,2.8765281928895962e-83,True
dist_from_low_21,11241,8107,cluster_robust_t,2.531014733601229e-83,-0.8399255904071139,0.6541365104199088,0.6431739363778348,1.9404446290942755e-82,True
dist_from_high_42,11135,8107,cluster_robust_t,4.602347751393345e-83,-0.8078251895926614,0.5104419897122506,0.39917750291911247,3.2570461009860593e-82,True
rs_at_high_42,11135,8107,cluster_robust_t,2.60742422152698e-81,-0.883423478368861,0.5443925817294716,0.4155604355286437,1.7134502027177295e-80,True
rs_line_slope_21,11241,8107,cluster_robust_t,5.808559116610826e-79,-0.6899560436044205,0.4753882570991075,0.3754668770719604,3.56258292485464e-78,True
rel_strength_63,11037,8107,cluster_robust_t,7.357107194491336e-79,-0.5797373140804918,0.36520002875824153,0.2799235611035909,4.230336636832518e-78,True
dist_from_high_63,11043,8107,cluster_robust_t,1.0448055980426001e-77,-0.7441466577356785,0.47037003415369416,0.3638732567681954,5.654242059995248e-77,True
price_to_ma_150,10640,8103,cluster_robust_t,1.3077467669800569e-76,-0.610534704219364,0.35981126223555926,0.2849663496022544,6.684039031231401e-76,True
rs_at_high_63,11043,8107,cluster_robust_t,1.6904286879547845e-76,-0.8144481443633407,0.502505065562196,0.3816878034697584,8.185233646938956e-76,True
dist_from_low_42,11135,8107,cluster_robust_t,4.12796861277706e-74,-0.7042537239682952,0.6170094873301297,0.5831829101661107,1.8988655618774475e-73,True
price_to_ma_200,10390,8103,cluster_robust_t,1.0837484495093965e-71,-0.5539303640313091,0.32290538194660967,0.24632702368934517,4.747850350231642e-71,True
rs_at_high_126,10758,8103,cluster_robust_t,3.415767814990906e-67,-0.6830774529214325,0.4149428978826407,0.3066575082290688,1.4284119953598333e-66,True
dist_from_high_126,10758,8103,cluster_robust_t,1.2679630823827723e-65,-0.6319631466780594,0.39362636938063444,0.3000212545132286,5.071852329531089e-65,True
accum_vol_share_42,11133,8107,cluster_robust_t,2.0157964084630354e-64,-0.4832281091800039,0.2732968463622901,0.20402475065406456,7.727219565774969e-64,True
dist_from_low_63,11043,8107,cluster_robust_t,2.222152569241322e-61,-0.5642992499829731,0.5338704176920298,0.4795889166943431,8.177521454808065e-61,True
rel_strength_126,10754,8103,cluster_robust_t,4.95744304401947e-58,-0.3904395255095373,0.2650198482523377,0.20060334867950252,1.7541721540376583e-57,True
rs_line_slope_42,11135,8107,cluster_robust_t,6.823715048732503e-51,-0.3976471832503348,0.2805728655390417,0.22393289483734308,2.325117720308853e-50,True
vol_surge_21,11241,8107,cluster_robust_t,3.493813769775261e-49,0.3018203490822967,-0.184710409666494,0.16254472816085735,1.1479673814975857e-48,True
base_depth_21,11241,8107,cluster_robust_t,1.2726197625498602e-47,0.4500186336559159,-0.2830795919714817,0.21018934029396663,4.037276488089212e-47,True
accum_vol_share_63,11037,8107,cluster_robust_t,2.3403849283529798e-45,-0.37316575046828,0.2146728857872785,0.15853710450754144,7.177180446949138e-45,True
vol_surge_42,11135,8107,cluster_robust_t,4.952303107447059e-40,0.2523764662070954,-0.1589720315211527,0.14014504808248052,1.4697157609197724e-39,True
cmf_21,11241,8107,cluster_robust_t,7.70298182016102e-40,-0.38509870469019786,0.246257853561607,0.20828272886527366,2.2146072732962934e-39,True
dist_from_low_126,10758,8103,cluster_robust_t,9.282247708518475e-39,-0.3281511742567119,0.3677738010455045,0.31454074386253555,2.5877781490415147e-38,True
vol_surge_63,11043,8107,cluster_robust_t,1.9302785551191433e-36,0.23245388047138732,-0.14584867182293482,0.12626450840581338,5.223106678557682e-36,True
updown_vol_21,11216,8082,cluster_robust_t,2.205637335567987e-36,-0.23368760347018439,0.4460790251385496,0.3439002409680236,5.797675282064423e-36,True
hurst_63,11043,8107,cluster_robust_t,2.0549230260018372e-35,0.30326496436980993,-0.1793017061119757,0.14040630679485733,5.251469955338028e-35,True
rs_line_slope_63,11043,8107,cluster_robust_t,1.697666264317487e-34,-0.23651200230797959,0.16951918591420567,0.13972182102413366,4.221224224789427e-34,True
updown_vol_63,11037,8107,cluster_robust_t,1.803307923782092e-32,-0.23796573737218304,0.23232652553603217,0.1765702274258114,4.365903394419801e-32,True
vol_surge_126,10758,8103,cluster_robust_t,1.898081368601239e-32,0.21029260783241854,-0.13597006995611927,0.11632506300125434,4.477525279777282e-32,True
ret_skew_63,11043,8107,cluster_robust_t,4.081647544869953e-28,-0.20890623322748306,0.11257223506380032,0.09880053192829169,9.387789353200891e-28,True
up_vs_down_vol_extreme_21,11024,8051,cluster_robust_t,4.242803513454005e-27,-0.17313701564558912,0.2693348882189539,0.20677516148414532,9.520437152140694e-27,True
base_depth_42,11135,8107,cluster_robust_t,6.2985819400418665e-27,0.3300732776604821,-0.19086366679961753,0.13096669716542142,1.379689377342504e-26,True
updown_vol_126,10754,8103,cluster_robust_t,4.388500069271984e-25,-0.21823400568185666,0.15486897344173767,0.12150221560418717,9.389348985419128e-25,True
accum_vol_share_126,10754,8103,cluster_robust_t,1.9334157428038856e-23,-0.2579805141526154,0.14662218910144498,0.10830443661808098,4.042596553135397e-23,True
